LabelforTranslation,de,en_GB,en_MX,en_US,SLNo,pt_BR,pl,fr,es,Display
Engagement Program by Account Prioritization,Engagement Program by Account Prioritization,Engagement Program by Account Prioritization,Engagement Program by Account Prioritization,Engagement Program by Account Prioritization,15,Plano de ação por Classificação da Conta,Engagement Program by Account Prioritization,Engagement Program by Account Prioritization,Engagement Program by Account Prioritization,Engagement Program by Account Prioritization
Account Prioritization,Account Prioritization,Account Prioritization,Account Prioritization,Account Prioritization,16,Classificação da Conta,Account Prioritization,Account Prioritization,Account Prioritization,Account Prioritization
Engagement Program by Product Prioritization,Engagement Program by Product Prioritization,Engagement Program by Product Prioritization,Engagement Program by Product Prioritization,Engagement Program by Product Prioritization,17,Plano de ação por Classificação da Conta,Engagement Program by Product Prioritization,Engagement Program by Product Prioritization,Engagement Program by Product Prioritization,Engagement Program by Product Prioritization
Product Prioritization,Product Prioritization,Product Prioritization,Product Prioritization,Product Prioritization,18,"Priorização de Produto  ",Product Prioritization,Product Prioritization,Product Prioritization,Product Prioritization
Engagement Program Status,Engagement Program Status,Engagement Program Status,Engagement Program Status,Engagement Program Status,19,"Status do Plano de Ação  ",Engagement Program Status,Engagement Program Status,Engagement Program Status,Engagement Program Status
Number of Engagement Program,Number of Engagement Program,Number of Engagement Program,Number of Engagement Program,Number of Engagement Program,20,Número de Plano de Ação,Number of Engagement Program,Number of Engagement Program,Number of Engagement Program,Number of Engagement Program
Total Number of Engagment Programs by Status,Total Number of Engagment Programs by Status,Total Number of Engagment Programs by Status,Total Number of Engagment Programs by Status,Total Number of Engagment Programs by Status,21,"Número Total de Plano de Ação por Status  ",Total Number of Engagment Programs by Status,Total Number of Engagment Programs by Status,Total Number of Engagment Programs by Status,Total Number of Engagment Programs by Status
Total Number of Engagment Programs by Account Prioritization,Total Number of Engagment Programs by Account Prioritization,Total Number of Engagment Programs by Account Prioritization,Total Number of Engagment Programs by Account Prioritization,Total Number of Engagment Programs by Account Prioritization,22,Número Total de Plano de Ação por Classificação da Conta,Total Number of Engagment Programs by Account Prioritization,Total Number of Engagment Programs by Account Prioritization,Total Number of Engagment Programs by Account Prioritization,Total Number of Engagment Programs by Account Prioritization
Total Number of Engagment Programs by Product Prioritization,Total Number of Engagment Programs by Product Prioritization,Total Number of Engagment Programs by Product Prioritization,Total Number of Engagment Programs by Product Prioritization,Total Number of Engagment Programs by Product Prioritization,23,"Número Total de Plano de Ação por Priorização de Produto  ",Total Number of Engagment Programs by Product Prioritization,Total Number of Engagment Programs by Product Prioritization,Total Number of Engagment Programs by Product Prioritization,Total Number of Engagment Programs by Product Prioritization
View FSR Engagement Program Usage Report,View FSR Engagement Program Usage Report,View FSR Engagement Program Usage Report,View FSR Engagement Program Usage Report,View FSR Engagement Program Usage Report,24,Ver Relatório de Uso do Plano de Ação,View FSR Engagement Program Usage Report,View FSR Engagement Program Usage Report,View FSR Engagement Program Usage Report,View FSR Engagement Program Usage Report
View Details for EIB Accounts,View Details for EIB Accounts,View Details for EIB Accounts,View Details for EIB Accounts,View Details for EIB Accounts,25,"Ver Detalhes das Contas EIB  ",View Details for EIB Accounts,View Details for EIB Accounts,View Details for EIB Accounts,View Details for EIB Accounts
"Account ",Account,Account,Account,Account,26,Conta,Account,Account,Account,"Account "
"Territory ",Territory,Territory,Territory,Territory,27,Território,Territory,Territory,Territory,"Territory "
"Area ",Area,Area,Area,Area,28,Área,Area,Area,Area,"Area "
Number of Accounts for Engagement Programs,Number of Accounts for Engagement Programs,Number of Accounts for Engagement Programs,Number of Accounts for Engagement Programs,Number of Accounts for Engagement Programs,29,Número de Contas para Plano de Ação,Number of Accounts for Engagement Programs,Number of Accounts for Engagement Programs,Number of Accounts for Engagement Programs,Number of Accounts for Engagement Programs
Number of Accounts with Agreed Engagement Programs,Number of Accounts with Agreed Engagement Programs,Number of Accounts with Agreed Engagement Programs,Number of Accounts with Agreed Engagement Programs,Number of Accounts with Agreed Engagement Programs,30,"Número de Contas com Plano de Ação Acordados  ",Number of Accounts with Agreed Engagement Programs,Number of Accounts with Agreed Engagement Programs,Number of Accounts with Agreed Engagement Programs,Number of Accounts with Agreed Engagement Programs
Number of Accounts with Planned Engagement Programs,Number of Accounts with Planned Engagement Programs,Number of Accounts with Planned Engagement Programs,Number of Accounts with Planned Engagement Programs,Number of Accounts with Planned Engagement Programs,31,"Número de Contas com Plano de Ação Planejados  ",Number of Accounts with Planned Engagement Programs,Number of Accounts with Planned Engagement Programs,Number of Accounts with Planned Engagement Programs,Number of Accounts with Planned Engagement Programs
Engagement Program Status by Engagement Programs,Engagement Program Status by Engagement Programs,Engagement Program Status by Engagement Programs,Engagement Program Status by Engagement Programs,Engagement Program Status by Engagement Programs,32,"Status do Plano de Ação por Plano de Ação  ",Engagement Program Status by Engagement Programs,Engagement Program Status by Engagement Programs,Engagement Program Status by Engagement Programs,Engagement Program Status by Engagement Programs
Engagement Program Programa VIPs,Engagement Program Programa VIPs,Engagement Program Programa VIPs,Engagement Program Programa VIPs,Engagement Program Programa VIPs,33,"Plano de Ação VIPs  ",Engagement Program Programa VIPs,Engagement Program Programa VIPs,Engagement Program Programa VIPs,Engagement Program Programa VIPs
Engagement Program Convenio Commercial CP,Engagement Program Convenio Commercial CP,Engagement Program Convenio Commercial CP,Engagement Program Convenio Commercial CP,Engagement Program Convenio Commercial CP,34,"Plano de Ação Convênio Comercial CP  ",Engagement Program Convenio Commercial CP,Engagement Program Convenio Commercial CP,Engagement Program Convenio Commercial CP,Engagement Program Convenio Commercial CP
Engagement Program by Account and Status,Engagement Program by Account and Status,Engagement Program by Account and Status,Engagement Program by Account and Status,Engagement Program by Account and Status,35,"Plano de Ação por Conta e Status  ",Engagement Program by Account and Status,Engagement Program by Account and Status,Engagement Program by Account and Status,Engagement Program by Account and Status
Engagement Program by Territory and Status,Engagement Program by Territory and Status,Engagement Program by Territory and Status,Engagement Program by Territory and Status,Engagement Program by Territory and Status,36,"Plano de Ação por Território e Status  ",Engagement Program by Territory and Status,Engagement Program by Territory and Status,Engagement Program by Territory and Status,Engagement Program by Territory and Status
Engagement Program by Area and Status,Engagement Program by Area and Status,Engagement Program by Area and Status,Engagement Program by Area and Status,Engagement Program by Area and Status,37,"Plano de Ação por Área e Status  ",Engagement Program by Area and Status,Engagement Program by Area and Status,Engagement Program by Area and Status,Engagement Program by Area and Status
Engagement Programs by Account Prioritization,Engagement Programs by Account Prioritization,Engagement Programs by Account Prioritization,Engagement Programs by Account Prioritization,Engagement Programs by Account Prioritization,38,Plano de Ação por Classificação da Conta,Engagement Programs by Account Prioritization,Engagement Programs by Account Prioritization,Engagement Programs by Account Prioritization,Engagement Programs by Account Prioritization
Engagement Program by Account and Account Prioritization,Engagement Program by Account and Account Prioritization,Engagement Program by Account and Account Prioritization,Engagement Program by Account and Account Prioritization,Engagement Program by Account and Account Prioritization,39,Plano de Ação por Conta e Classificação da Conta,Engagement Program by Account and Account Prioritization,Engagement Program by Account and Account Prioritization,Engagement Program by Account and Account Prioritization,Engagement Program by Account and Account Prioritization
Engagement Program by Territory and Account Prioritization,Engagement Program by Territory and Account Prioritization,Engagement Program by Territory and Account Prioritization,Engagement Program by Territory and Account Prioritization,Engagement Program by Territory and Account Prioritization,40,Plano de Ação por Território e Classificação da Conta,Engagement Program by Territory and Account Prioritization,Engagement Program by Territory and Account Prioritization,Engagement Program by Territory and Account Prioritization,Engagement Program by Territory and Account Prioritization
Engagement Program by Area and Account Prioritization,Engagement Program by Area and Account Prioritization,Engagement Program by Area and Account Prioritization,Engagement Program by Area and Account Prioritization,Engagement Program by Area and Account Prioritization,41,Plano de Ação por Área e Classificação da Conta,Engagement Program by Area and Account Prioritization,Engagement Program by Area and Account Prioritization,Engagement Program by Area and Account Prioritization,Engagement Program by Area and Account Prioritization
Engagement Programs by Product Prioritization,Engagement Programs by Product Prioritization,Engagement Programs by Product Prioritization,Engagement Programs by Product Prioritization,Engagement Programs by Product Prioritization,42,"Plano de Ação por Priorização de Produto  ",Engagement Programs by Product Prioritization,Engagement Programs by Product Prioritization,Engagement Programs by Product Prioritization,Engagement Programs by Product Prioritization
Engagement Program by Account and Product Prioritization,Engagement Program by Account and Product Prioritization,Engagement Program by Account and Product Prioritization,Engagement Program by Account and Product Prioritization,Engagement Program by Account and Product Prioritization,43,"Plano de Ação por Conta e Priorização de Produto  ",Engagement Program by Account and Product Prioritization,Engagement Program by Account and Product Prioritization,Engagement Program by Account and Product Prioritization,Engagement Program by Account and Product Prioritization
Engagement Program by Territory Product Prioritization,Engagement Program by Territory Product Prioritization,Engagement Program by Territory Product Prioritization,Engagement Program by Territory Product Prioritization,Engagement Program by Territory Product Prioritization,44,"Plano de Ação por Priorização de Produto no Território  ",Engagement Program by Territory Product Prioritization,Engagement Program by Territory Product Prioritization,Engagement Program by Territory Product Prioritization,Engagement Program by Territory Product Prioritization
Engagement Program by Area and Product Prioritization,Engagement Program by Area and Product Prioritization,Engagement Program by Area and Product Prioritization,Engagement Program by Area and Product Prioritization,Engagement Program by Area and Product Prioritization,45,"Plano de Ação por Priorização de Produto na Área  ",Engagement Program by Area and Product Prioritization,Engagement Program by Area and Product Prioritization,Engagement Program by Area and Product Prioritization,Engagement Program by Area and Product Prioritization
ENGAGEMENT RESOURCES,ENGAGEMENT RESOURCES,ENGAGEMENT RESOURCES,ENGAGEMENT RESOURCES,ENGAGEMENT RESOURCES,46,RECURSOS DO PLANO DE AÇÃO,ENGAGEMENT RESOURCES,ENGAGEMENT RESOURCES,ENGAGEMENT RESOURCES,ENGAGEMENT RESOURCES
Resources by Quantity,Resources by Quantity,Resources by Quantity,Resources by Quantity,Resources by Quantity,47,"Recursos por Quantidade  ",Resources by Quantity,Resources by Quantity,Resources by Quantity,Resources by Quantity
Resources by Status,Resources by Status,Resources by Status,Resources by Status,Resources by Status,48,"Recursos por Status  ",Resources by Status,Resources by Status,Resources by Status,Resources by Status
"Status of Engagement Resources by Resource Name ","Status of Engagement Resources by Resource Name ","Status of Engagement Resources by Resource Name ","Status of Engagement Resources by Resource Name ","Status of Engagement Resources by Resource Name ",49,"Status dos Recursos de Plano de Açãopor Nome do Recurso  ","Status of Engagement Resources by Resource Name ","Status of Engagement Resources by Resource Name ","Status of Engagement Resources by Resource Name ","Status of Engagement Resources by Resource Name "
Percentage of Engagement Resources,Percentage of Engagement Resources,Percentage of Engagement Resources,Percentage of Engagement Resources,Percentage of Engagement Resources,50,Porcentagem de Recursos de Plano de Ação,Percentage of Engagement Resources,Percentage of Engagement Resources,Percentage of Engagement Resources,Percentage of Engagement Resources
"Quantity of Engagement Resources by ","Quantity of Engagement Resources by ","Quantity of Engagement Resources by ","Quantity of Engagement Resources by ","Quantity of Engagement Resources by ",51,Quantidade de Recursos de Plano de Ação por,"Quantity of Engagement Resources by ","Quantity of Engagement Resources by ","Quantity of Engagement Resources by ","Quantity of Engagement Resources by "
Quantity of Engagement Resources by Territory,Quantity of Engagement Resources by Territory,Quantity of Engagement Resources by Territory,Quantity of Engagement Resources by Territory,Quantity of Engagement Resources by Territory,52,Quantidade de Recursos de Plano de Ação por Território,Quantity of Engagement Resources by Territory,Quantity of Engagement Resources by Territory,Quantity of Engagement Resources by Territory,Quantity of Engagement Resources by Territory
Quantity of Engagement Resources by Area,Quantity of Engagement Resources by Area,Quantity of Engagement Resources by Area,Quantity of Engagement Resources by Area,Quantity of Engagement Resources by Area,53,Quantidade de Recursos de Plano de Ação por Área,Quantity of Engagement Resources by Area,Quantity of Engagement Resources by Area,Quantity of Engagement Resources by Area,Quantity of Engagement Resources by Area
ENGAGEMENT ACTIVITIES,ENGAGEMENT ACTIVITIES,ENGAGEMENT ACTIVITIES,ENGAGEMENT ACTIVITIES,ENGAGEMENT ACTIVITIES,54,ATIVIDADES DO PLANO DE AÇÃO,ENGAGEMENT ACTIVITIES,ENGAGEMENT ACTIVITIES,ENGAGEMENT ACTIVITIES,ENGAGEMENT ACTIVITIES
Engagement Activity Status by CEP Phase,Engagement Activity Status by CEP Phase,Engagement Activity Status by CEP Phase,Engagement Activity Status by CEP Phase,Engagement Activity Status by CEP Phase,55,"Status da Atividade de Plano de Ação por Fase CEP  ",Engagement Activity Status by CEP Phase,Engagement Activity Status by CEP Phase,Engagement Activity Status by CEP Phase,Engagement Activity Status by CEP Phase
Engagement Activities by CEP Phase,Engagement Activities by CEP Phase,Engagement Activities by CEP Phase,Engagement Activities by CEP Phase,Engagement Activities by CEP Phase,56,"Atividades de Plano de Ação por Fase CEP  ",Engagement Activities by CEP Phase,Engagement Activities by CEP Phase,Engagement Activities by CEP Phase,Engagement Activities by CEP Phase
Engagement Activites by Engagement Program,Engagement Activities by Engagement Program,Engagement Activities by Engagement Program,Engagement Activities by Engagement Program,Engagement Activities by Engagement Program,57,"Atividades de Plano de Ação por Plano de Ação  ",Engagement Activities by Engagement Program,Engagement Activities by Engagement Program,Engagement Activities by Engagement Program,Engagement Activities by Engagement Program
Engagement Activity Status by Engagement Program,Engagement Activity Status by Engagement Program,Engagement Activity Status by Engagement Program,Engagement Activity Status by Engagement Program,Engagement Activity Status by Engagement Program,58,"Status da Atividade de Plano de Ação por Plano de Ação  ",Engagement Activity Status by Engagement Program,Engagement Activity Status by Engagement Program,Engagement Activity Status by Engagement Program,Engagement Activity Status by Engagement Program
Engagement Activities by Account,Engagement Activities by Account,Engagement Activities by Account,Engagement Activities by Account,Engagement Activities by Account,59,"Atividades de Plano de Açãopor Conta  ",Engagement Activities by Account,Engagement Activities by Account,Engagement Activities by Account,Engagement Activities by Account
Engagement Activity Status by Account,Engagement Activity Status by Account,Engagement Activity Status by Account,Engagement Activity Status by Account,Engagement Activity Status by Account,60,"Status da Atividade de Plano de Ação por Conta  ",Engagement Activity Status by Account,Engagement Activity Status by Account,Engagement Activity Status by Account,Engagement Activity Status by Account
Engagement Activities by Territory,Engagement Activities by Territory,Engagement Activities by Territory,Engagement Activities by Territory,Engagement Activities by Territory,61,"Atividades de Plano de Açãopor Território  ",Engagement Activities by Territory,Engagement Activities by Territory,Engagement Activities by Territory,Engagement Activities by Territory
Engagement Activity Status by Territory,Engagement Activity Status by Territory,Engagement Activity Status by Territory,Engagement Activity Status by Territory,Engagement Activity Status by Territory,62,"Status da Atividade de Plano de Ação por Território  ",Engagement Activity Status by Territory,Engagement Activity Status by Territory,Engagement Activity Status by Territory,Engagement Activity Status by Territory
Engagement Activities by Area,Engagement Activities by Area,Engagement Activities by Area,Engagement Activities by Area,Engagement Activities by Area,63,"Atividades de Plano de Ação por Área  ",Engagement Activities by Area,Engagement Activities by Area,Engagement Activities by Area,Engagement Activities by Area
Engagement Activity Status by Area,Engagement Activity Status by Area,Engagement Activity Status by Area,Engagement Activity Status by Area,Engagement Activity Status by Area,64,"Status da Atividade de Plano de Ação por Área  ",Engagement Activity Status by Area,Engagement Activity Status by Area,Engagement Activity Status by Area,Engagement Activity Status by Area
TOUCHPOINTS,TOUCHPOINTS,TOUCHPOINTS,TOUCHPOINTS,TOUCHPOINTS,65,Visitas,TOUCHPOINTS,TOUCHPOINTS,TOUCHPOINTS,TOUCHPOINTS
Touchpoints Status by Account,Touchpoints Status by Account,Touchpoints Status by Account,Touchpoints Status by Account,Touchpoints Status by Account,66,"Status das Visitas por Conta  ",Touchpoints Status by Account,Touchpoints Status by Account,Touchpoints Status by Account,Touchpoints Status by Account
Touchpoints Status by Territory,Touchpoints Status by Territory,Touchpoints Status by Territory,Touchpoints Status by Territory,Touchpoints Status by Territory,67,"Status das Visitas por Território  ",Touchpoints Status by Territory,Touchpoints Status by Territory,Touchpoints Status by Territory,Touchpoints Status by Territory
Touchpoints Status by Area,Touchpoints Status by Area,Touchpoints Status by Area,Touchpoints Status by Area,Touchpoints Status by Area,68,"Status das Visitas por Área  ",Touchpoints Status by Area,Touchpoints Status by Area,Touchpoints Status by Area,Touchpoints Status by Area
Touchpoint Status by Account Priortization,Touchpoint Status by Account Priortization,Touchpoint Status by Account Priortization,Touchpoint Status by Account Priortization,Touchpoint Status by Account Priortization,69,Status das Visitas por Classificação da Conta,Touchpoint Status by Account Priortization,Touchpoint Status by Account Priortization,Touchpoint Status by Account Priortization,Touchpoint Status by Account Priortization
Number of Touchpoints by Status,Number of Touchpoints by Status,Number of Touchpoints by Status,Number of Touchpoints by Status,Number of Touchpoints by Status,70,"Número de Visitas por Status  ",Number of Touchpoints by Status,Number of Touchpoints by Status,Number of Touchpoints by Status,Number of Touchpoints by Status
Touchpoint Status by Account,Touchpoint Status by Account,Touchpoint Status by Account,Touchpoint Status by Account,Touchpoint Status by Account,71,"Status das Visitas por Conta  ",Touchpoint Status by Account,Touchpoint Status by Account,Touchpoint Status by Account,Touchpoint Status by Account
Touchpoint Status by Territory,Touchpoint Status by Territory,Touchpoint Status by Territory,Touchpoint Status by Territory,Touchpoint Status by Territory,72,"Status das Visitas por Território  ",Touchpoint Status by Territory,Touchpoint Status by Territory,Touchpoint Status by Territory,Touchpoint Status by Territory
Touchpoint Status by Area,Touchpoint Status by Area,Touchpoint Status by Area,Touchpoint Status by Area,Touchpoint Status by Area,73,"Status das Visitas por Área  ",Touchpoint Status by Area,Touchpoint Status by Area,Touchpoint Status by Area,Touchpoint Status by Area
Number of Touchpoints by Account Prioritization Classification,Number of Touchpoints by Account Prioritization Classification,Number of Touchpoints by Account Prioritization Classification,Number of Touchpoints by Account Prioritization Classification,Number of Touchpoints by Account Prioritization Classification,74,Número de Visitas por Classificação de Classificação da Conta,Number of Touchpoints by Account Prioritization Classification,Number of Touchpoints by Account Prioritization Classification,Number of Touchpoints by Account Prioritization Classification,Number of Touchpoints by Account Prioritization Classification
Average Number of Touchpoints by Account Prioritization Classification,Average Number of Touchpoints by Account Prioritization Classification,Average Number of Touchpoints by Account Prioritization Classification,Average Number of Touchpoints by Account Prioritization Classification,Average Number of Touchpoints by Account Prioritization Classification,75,Número Médio de Visitas por Classificação de Classificação da Conta,Average Number of Touchpoints by Account Prioritization Classification,Average Number of Touchpoints by Account Prioritization Classification,Average Number of Touchpoints by Account Prioritization Classification,Average Number of Touchpoints by Account Prioritization Classification
"Number of Touchpoints ","Number of Touchpoints ","Number of Touchpoints ","Number of Touchpoints ","Number of Touchpoints ",76,"Número de Visitas  ","Number of Touchpoints ","Number of Touchpoints ","Number of Touchpoints ","Number of Touchpoints "
Touchpoint Status,Touchpoint Status,Touchpoint Status,Touchpoint Status,Touchpoint Status,77,"Status dos Visitas  ",Touchpoint Status,Touchpoint Status,Touchpoint Status,Touchpoint Status
NEEDS IDENTIFICATION SURVEYS,NEEDS IDENTIFICATION SURVEYS,NEEDS IDENTIFICATION SURVEYS,NEEDS IDENTIFICATION SURVEYS,NEEDS IDENTIFICATION SURVEYS,78,"PESQUISAS DE IDENTIFICAÇÃO DE NECESSIDADES  ",NEEDS IDENTIFICATION SURVEYS,NEEDS IDENTIFICATION SURVEYS,NEEDS IDENTIFICATION SURVEYS,NEEDS IDENTIFICATION SURVEYS
Select Needs Identification Surveys,Select Needs Identification Surveys,Select Needs Identification Surveys,Select Needs Identification Surveys,Select Needs Identification Surveys,79,"Selecione Pesquisas de Identificação de Necessidades  ",Select Needs Identification Surveys,Select Needs Identification Surveys,Select Needs Identification Surveys,Select Needs Identification Surveys
Account Coverage,Account Coverage,Account Coverage,Account Coverage,Account Coverage,80,"Cobertura de Conta  ",Account Coverage,Account Coverage,Account Coverage,Account Coverage
Farmer Customer Accounts Surveyed,Farmer Customer Accounts Surveyed,Farmer Customer Accounts Surveyed,Farmer Customer Accounts Surveyed,Farmer Customer Accounts Surveyed,81,"Contas de Clientes Agrícolas Pesquisadas  ",Farmer Customer Accounts Surveyed,Farmer Customer Accounts Surveyed,Farmer Customer Accounts Surveyed,Farmer Customer Accounts Surveyed
Farmer Customer Survey by Status,Farmer Customer Survey by Status,Farmer Customer Survey by Status,Farmer Customer Survey by Status,Farmer Customer Survey by Status,82,Pesquisa de Clientes Agrícolas por Status,Farmer Customer Survey by Status,Farmer Customer Survey by Status,Farmer Customer Survey by Status,Farmer Customer Survey by Status
Farmer Customer Survey by Status by Account,Farmer Customer Survey by Status by Account,Farmer Customer Survey by Status by Account,Farmer Customer Survey by Status by Account,Farmer Customer Survey by Status by Account,83,Pesquisa de Clientes Agrícolas por Status por Conta,Farmer Customer Survey by Status by Account,Farmer Customer Survey by Status by Account,Farmer Customer Survey by Status by Account,Farmer Customer Survey by Status by Account
Farmer Customer Survey by Status by Territory,Farmer Customer Survey by Status by Territory,Farmer Customer Survey by Status by Territory,Farmer Customer Survey by Status by Territory,Farmer Customer Survey by Status by Territory,84,Pesquisa de Clientes Agrícolas por Status por Território,Farmer Customer Survey by Status by Territory,Farmer Customer Survey by Status by Territory,Farmer Customer Survey by Status by Territory,Farmer Customer Survey by Status by Territory
Farmer Customer Survey by Status by Area,Farmer Customer Survey by Status by Area,Farmer Customer Survey by Status by Area,Farmer Customer Survey by Status by Area,Farmer Customer Survey by Status by Area,85,Pesquisa de Clientes Agrícolas por Status por Área,Farmer Customer Survey by Status by Area,Farmer Customer Survey by Status by Area,Farmer Customer Survey by Status by Area,Farmer Customer Survey by Status by Area
Account Name,Account Name,Account Name,Account Name,Account Name,86,Nome da Conta,Account Name,Account Name,Account Name,Account Name
Region,Region,Region,Region,Region,87,"Região  ",Region,Region,Region,Region
Farmer Customer Survey by Status by Region,Farmer Customer Survey by Status by Region,Farmer Customer Survey by Status by Region,Farmer Customer Survey by Status by Region,Farmer Customer Survey by Status by Region,88,"Pesquisa de Clientes Agrícolas por Status por Região  ",Farmer Customer Survey by Status by Region,Farmer Customer Survey by Status by Region,Farmer Customer Survey by Status by Region,Farmer Customer Survey by Status by Region
Engagement Resource Name,Engagement Resource Name,Engagement Resource Name,Engagement Resource Name,Engagement Resource Name,89,"Nome do Recurso de Plano de Ação ",Engagement Resource Name,Engagement Resource Name,Engagement Resource Name,Engagement Resource Name
"Status of Engagement Resources by ","Status of Engagement Resources by ","Status of Engagement Resources by ","Status of Engagement Resources by ","Status of Engagement Resources by ",90,Status dos Recursos de Plano de Açãopor,"Status of Engagement Resources by ","Status of Engagement Resources by ","Status of Engagement Resources by ","Status of Engagement Resources by "
"Status ","Status ","Status ","Status ","Status ",91,"Status ","Status ","Status ","Status ","Status "
Quantity of Engagement Resources by Account,Quantity of Engagement Resources by Account,Quantity of Engagement Resources by Account,Quantity of Engagement Resources by Account,Quantity of Engagement Resources by Account,92,"Quantidade de Recursos de Plano de Açãopor Conta  ",Quantity of Engagement Resources by Account,Quantity of Engagement Resources by Account,Quantity of Engagement Resources by Account,Quantity of Engagement Resources by Account
Engagement Program,Engagement Program,Engagement Program,Engagement Program,Engagement Program,93,"Plano de Ação  ",Engagement Program,Engagement Program,Engagement Program,Engagement Program
CEP Phase,CEP Phase,CEP Phase,CEP Phase,CEP Phase,94,"Fase CEP  ",CEP Phase,CEP Phase,CEP Phase,CEP Phase
Account Prioritization,Account Prioritization,Account Prioritization,Account Prioritization,Account Prioritization,95,Classificação da Conta,Account Prioritization,Account Prioritization,Account Prioritization,Account Prioritization
Product Prioritization,Product Prioritization,Product Prioritization,Product Prioritization,Product Prioritization,96,"Priorização de Produto  ",Product Prioritization,Product Prioritization,Product Prioritization,Product Prioritization
Account Prioritization Classification,Account Prioritization Classification,Account Prioritization Classification,Account Prioritization Classification,Account Prioritization Classification,97,Classificação de Classificação da Conta,Account Prioritization Classification,Account Prioritization Classification,Account Prioritization Classification,Account Prioritization Classification
TouchpointStatus,TouchpointStatus,TouchpointStatus,TouchpointStatus,TouchpointStatus,98,Status dos Visitas,TouchpointStatus,TouchpointStatus,TouchpointStatus,TouchpointStatus
Avg Number of Touchpoints,Avg Number of Touchpoints,Avg Number of Touchpoints,Avg Number of Touchpoints,Avg Number of Touchpoints,99,"Número Médio de Visitas  ",Avg Number of Touchpoints,Avg Number of Touchpoints,Avg Number of Touchpoints,Avg Number of Touchpoints
ACCOUNT CHURN AND ACQUISITION,ACCOUNT CHURN AND ACQUISITION,ACCOUNT CHURN AND ACQUISITION,ACCOUNT CHURN AND ACQUISITION,ACCOUNT CHURN AND ACQUISITION,100,"ROTATIVIDADE E AQUISIÇÃO DE CONTAS  ",ACCOUNT CHURN AND ACQUISITION,ACCOUNT CHURN AND ACQUISITION,ACCOUNT CHURN AND ACQUISITION,ACCOUNT CHURN AND ACQUISITION
TerritoryDescription,TerritoryDescription,TerritoryDescription,TerritoryDescription,TerritoryDescription,101,"Descrição do Território  ",TerritoryDescription,TerritoryDescription,TerritoryDescription,TerritoryDescription
Coverage Role,Coverage Role,Coverage Role,Coverage Role,Coverage Role,102,Função de Cobertura,Coverage Role,Coverage Role,Coverage Role,Coverage Role
% Farmer Customer Churn Vs Retained Accounts,% Farmer Customer Churn Vs Retained Accounts,% Farmer Customer Churn Vs Retained Accounts,% Farmer Customer Churn Vs Retained Accounts,% Farmer Customer Churn Vs Retained Accounts,103,"% de Rotatividade de Clientes Agrícolas vs Contas Retidas  ",% Farmer Customer Churn Vs Retained Accounts,% Farmer Customer Churn Vs Retained Accounts,% Farmer Customer Churn Vs Retained Accounts,% Farmer Customer Churn Vs Retained Accounts
% Farmer Customer Acquired Accounts,% Farmer Customer Acquired Accounts,% Farmer Customer Acquired Accounts,% Farmer Customer Acquired Accounts,% Farmer Customer Acquired Accounts,104,"% de Contas de Clientes Agrícolas Adquiridas  ",% Farmer Customer Acquired Accounts,% Farmer Customer Acquired Accounts,% Farmer Customer Acquired Accounts,% Farmer Customer Acquired Accounts
